year,rcpt,std
2006,MOZ,101493025.61699995
2006,MRT,2944699.0900000003
2006,MUS,334533.66000000003
2006,MWI,72522512.14800002
2006,MYS,227359.3299999999
2006,NAM,66074746.23000002
2006,NER,5200408.880000001
2006,NGA,176248959.64
2006,NIC,7112724.160000002
2006,NPL,16517737.54
2006,OMN,137488.29
2006,PAK,14250041.510000004
2006,PAN,791311.1299999999
2006,PER,8838741.889999997
2006,PHL,4894851.878
2006,PNG,17840290.253999997
2006,PRK,15350.0
2006,PRY,241675.97
2006,PSE,61319.99
2006,RWA,76807561.75
2006,SAU,3073.5099999999998
2006,SDN,25435910.01
2006,SEN,16154342.439999998
2006,SLB,4567.383000000001
2006,SLE,5303767.959999999
2006,SLV,3900689.69
2006,SOM,7130761.7700000005
2006,SRB,1864096.3800000001
2006,STP,305827.4
2006,SUR,1016876.72
2006,SWZ,13353276.969999999
2006,SYC,15400.0
2006,SYR,142870.0
2006,TCD,7266747.729999997
2006,TGO,7858472.21
2006,THA,37982361.22
2006,TJK,1982243.88
2006,TKM,261251.02999999988
2006,TLS,415057.1199999999
2006,TON,1505.02
2006,TTO,2757277.9400000004
2006,TUN,8855.480000000001
2006,TUR,2764953.23
2006,TZA,150333181.0189999
2006,UGA,152763434.9700001
2006,UKR,37057420.35299999
2006,URY,69559.46
2006,UZB,4962396.470000001
2006,VCT,249972.84
2006,VEN,422898.42
2006,VNM,36297486.91999999
2006,YEM,1312327.26
2006,ZAF,151272408.76000005
2006,ZMB,124998603.88300005
2006,ZWE,64962341.45470001
2007,AFG,476237.74000000005
2007,AGO,21131811.13
2007,ALB,2283325.0
2007,ARG,6143376.95
2007,ARM,2358946.35
2007,ATG,42218.270000000004
2007,AZE,1952825.71
2007,BDI,14030095.910000004
2007,BEN,9748959.439999996
2007,BFA,23765730.75
2007,BGD,12251329.836999997
2007,BIH,2680655.1900000004
2007,BLR,3899284.8260000004
2007,BLZ,570556.6
2007,BOL,4095568.7900000005
2007,BRA,23466545.048000004
2007,BRB,1950080.7
2007,BTN,348394.985
2007,BWA,43136365.36000001
2007,CAF,2374309.62
2007,CHL,4542811.510000001
2007,CHN,90920169.23600003
2007,CIV,46140289.28
2007,CMR,33576046.06
2007,COD,36777784.809999995
2007,COG,6313755.5600000005
2007,COL,1191417.44
2007,COM,326634.1
2007,CPV,977480.126
2007,CRI,973893.3400000001
2007,CUB,11724697.31
2007,DJI,5209890.000000001
2007,DMA,2031.28
2007,DOM,17832122.69000001
2007,DZA,1726637.2499999998
2007,ECU,4933955.03
2007,EGY,1444080.1199999999
2007,ERI,9508473.290000005
2007,ETH,248767100.31
2007,FJI,987387.7
2007,GAB,3241450.0300000003
2007,GEO,7982595.6499999985
2007,GHA,42685518.366
2007,GIN,6054046.279999999
2007,GMB,7479101.77
2007,GNB,2377158.68
2007,GNQ,415170.0
2007,GRD,262467.97
2007,GTM,11014916.17
2007,GUY,20097112.27999999
2007,HND,13785812.28
2007,HRV,179392.0
2007,HTI,81494272.80999999
2007,IDN,32310476.566000007
2007,IND,245427511.05179998
2007,IRN,3051261.8
2007,IRQ,87552.72
2007,JAM,9007957.534999998
2007,JOR,1430844.01
2007,KAZ,4228035.93
2007,KEN,223798147.10999984
2007,KGZ,7474184.759999999
2007,KHM,45934405.565000005
2007,KIR,0.0
2007,KNA,377476.4599999999
2007,LAO,3894867.81
2007,LBN,131749.28999999998
2007,LBR,7707960.060000001
2007,LBY,1482261.0
2007,LCA,229814.67
2007,LKA,1847490.36
2007,LSO,19452829.2002
2007,MAR,5785735.5200000005
2007,MDA,11477965.059999995
2007,MDG,11808530.220000003
2007,MDV,1274438.4200000002
2007,MEX,3263555.1400000006
2007,MKD,2010555.37
2007,MLI,31180211.669999998
2007,MMR,15279847.326999996
2007,MNE,1111685.8
2007,MNG,1967439.406
2007,MOZ,153126283.4419999
2007,MRT,1798919.975
2007,MUS,1288116.66
2007,MWI,154471765.01899993
2007,MYS,313894.29000000004
2007,NAM,83922952.31000002
2007,NER,7517908.645999999
2007,NGA,237326634.4100001
2007,NIC,7195396.865999999
2007,NIU,27615.0
2007,NPL,13743584.96
2007,PAK,17767564.516
2007,PAN,2099142.8660000004
2007,PER,12213933.186
2007,PHL,14734957.586999997
2007,PNG,16894497.51194
2007,PRK,12184.800000000001
2007,PRY,1319651.79
2007,PSE,110712.9199999999
2007,RWA,115831968.828
2007,SDN,14424172.110000001
2007,SEN,17137875.70000001
2007,SLB,261565.0
2007,SLE,6856136.539999999
2007,SLV,3908073.4600000004
2007,SOM,7884227.369999999
2007,SRB,3315609.0100000007
2007,STP,404594.99
2007,SUR,2371972.0999999996
2007,SWZ,20091604.369999997
2007,SYC,38135.0
2007,SYR,151492.13
2007,TCD,4471547.649999999
2007,TGO,11644577.46
2007,THA,46565787.53999999
2007,TJK,7466674.5
2007,TKM,512465.63
2007,TLS,1806813.9400000002
2007,TTO,5155171.4520000005
2007,TUN,5069246.49
2007,TUR,1176195.02
2007,TZA,210542971.51500002
2007,UGA,241882641.2792001
2007,UKR,40970254.95780001
2007,URY,90340.2599999999
2007,UZB,8854143.860000001
2007,VCT,250985.73
2007,VEN,363551.92999999993
2007,VNM,60737423.62000001
2007,WSM,148022.03
2007,YEM,1101791.44
2007,ZAF,284168948.6049996
2007,ZMB,148900086.14999998
2007,ZWE,97465910.71000001
2008,AFG,2109363.4800000004
2008,AGO,29288899.97
2008,ALB,1843285.5
2008,ARG,7528568.048999999
2008,ARM,2566294.4000000004
2008,AZE,2393911.74
2008,BDI,19239065.46000001
2008,BEN,15289143.799999995
2008,BFA,38395855.69
2008,BGD,20176843.040000003
2008,BIH,3556613.4998000003
2008,BLR,3728717.2800000003
2008,BLZ,370000.0
2008,BOL,5971398.7299999995
2008,BRA,20941847.43
2008,BRB,704317.0000000001
2008,BTN,895574.8000000002
2008,BWA,229879289.82000005
2008,CAF,18669613.409999996
2008,CHL,1801929.8299999998
2008,CHN,95159962.667
2008,CIV,102925963.24
2008,CMR,18272253.52
2008,COD,61054786.629999965
2008,COG,9929218.66
2008,COL,1377563.97
2008,COM,255149.75
2008,CPV,1249464.0
2008,CRI,675862.84
2008,CUB,3324415.9799999995
2008,DJI,4104773.8199999994
2008,DOM,22659378.509000007
2008,DZA,2495064.56
2008,ECU,5318202.04
2008,EGY,3639155.090000001
2008,ERI,16030575.840000002
2008,ETH,301567812.73
2008,FJI,483546.08
2008,GAB,2403819.36
2008,GEO,4540687.99
2008,GHA,37041114.6885
2008,GIN,5994368.920000001
2008,GMB,3238757.0700000003
2008,GNB,1968459.4
2008,GNQ,2821238.0
2008,GRD,158463.0
2008,GTM,22316454.23
2008,GUY,28272375.0
2008,HND,16816068.519999996
2008,HRV,83770.0
2008,HTI,95068371.1
2008,IDN,35088581.06999999
2008,IND,165031933.81000015
2008,IRN,5143906.100000001
2008,IRQ,18554.350000000002
2008,JAM,11121778.7
2008,JOR,556982.0
2008,KAZ,13938376.320000004
2008,KEN,323725753.9900001
2008,KGZ,11598989.499999998
2008,KHM,51407504.54230004
2008,KIR,346277.4
2008,KNA,256699.99999999997
2008,LAO,4838792.57
2008,LBN,13403.3
2008,LBR,7432908.929999998
2008,LBY,2210109.9
2008,LCA,483147.9999999999
2008,LKA,876803.0299999999
2008,LSO,32517257.992
2008,MAR,4588189.32
